Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,Channel
1531,8397,6981,247,2505,1236,Rest
1406,16729,28986,673,836,3,R
11818,1648,1694,2276,169,1647,Hote
12579,11114,17569,805,6457,1519,H
19046,2770,2469,8853,483,2708,Hot
14438,2295,1733,3220,585,1561,R
18044,1080,2000,2555,118,1266,Hotel
11134,793,2988,2715,276,610,Hotel
11173,2521,3355,1517,310,222,Hotel
6990,3880,5380,1647,319,1160,C
20049,1891,2362,5343,411,933,H
8258,2344,2147,3896,266,635,H
17160,1200,3412,2417,174,1136,Hot
4020,3234,1498,2395,264,255,Hote
12212,201,245,1991,25,860,H
11170,10769,8814,2194,1976,143,Cafe
36050,1642,2961,4787,500,1621,Hote
76237,3473,7102,16538,778,918,H
19219,1840,1658,8195,349,483,Restaurant
21465,7243,10685,880,2386,2749,Cafe
140,8847,3823,142,1062,3,H
42312,926,1510,1718,410,1819,H
7149,2428,699,6316,395,911,Hote
2101,589,314,346,70,310,Rest
14903,2032,2479,576,955,328,H
9434,1042,1235,436,256,396,H
7388,1882,2174,720,47,537,C
6300,1289,2591,1170,199,326,Cafe
4625,8579,7030,4575,2447,1542,Rest
3087,8080,8282,661,721,36,Cafe
13537,4257,5034,155,249,3271,Rest
5387,4979,3343,825,637,929,Hotel
17623,4280,7305,2279,960,2616,Caffe
30379,13252,5189,321,51,1450,Caffe
37036,7152,8253,2995,20,3,Cafe
10405,1596,1096,8425,399,318,R
18827,3677,1988,118,516,201,R
22039,8384,34792,42,12591,4430,H
7769,1936,2177,926,73,520,Caffe
9203,3373,2707,1286,1082,526,Caffe
5924,584,542,4052,283,434,Hote
31812,1433,1651,800,113,1440,Caffe
16225,1825,1765,853,170,1067,R
1289,3328,2022,531,255,1774,Restaurant
18840,1371,3135,3001,352,184,C
3463,9250,2368,779,302,1627,Hote
622,55,137,75,7,8,Restaurant
1989,10690,19460,233,11577,2153,R
3830,5291,14855,317,6694,3182,R
17773,1366,2474,3378,811,418,Hot
2861,6570,9618,930,4004,1682,Hote
355,7704,14682,398,8077,303,H
1725,3651,12822,824,4424,2157,Hotel
12434,540,283,1092,3,2233,Hote
15177,2024,3810,2665,232,610,Rest
5531,15726,26870,2367,13726,446,H
5224,7603,8584,2540,3674,238,Hot
15615,12653,19858,4425,7108,2379,Rest
4822,6721,9170,993,4973,3637,Hote
2926,3195,3268,405,1680,693,C
5809,735,803,1393,79,429,Hote
5414,717,2155,2399,69,750,R
260,8675,13430,1116,7015,323,C
200,25862,19816,651,8773,6250,R
955,5479,6536,333,2840,707,Caffe
514,7677,19805,937,9836,716,Restaurant
286,1208,5241,2515,153,1442,R
2343,7845,11874,52,4196,1697,Hote
45640,6958,6536,7368,1532,230,Restaurant
12759,7330,4533,1752,20,2631,Hotel
11002,7075,4945,1152,120,395,Caffe
3157,4888,2500,4477,273,2165,H
12356,6036,8887,402,1382,2794,C
112151,29627,18148,16745,4948,8550,Cafe
694,8533,10518,443,6907,156,Restaurant
36847,43950,20170,36534,239,47943,H
327,918,4710,74,334,11,Rest
8170,6448,1139,2181,58,247,Cafe
3009,521,854,3470,949,727,Restaurant
2438,8002,9819,6269,3459,3,H
8040,7639,11687,2758,6839,404,Cafe
834,11577,11522,275,4027,1856,Caffe
16936,6250,1981,7332,118,64,C
13624,295,1381,890,43,84,Hot
5509,1461,2251,547,187,409,Caffe
180,3485,20292,959,5618,666,H
7107,1012,2974,806,355,1142,Cafe
17023,5139,5230,7888,330,1755,Hote
30624,7209,4897,18711,763,2876,Hotel
2427,7097,10391,1127,4314,1468,Caffe
11686,2154,6824,3527,592,697,Caffe
9670,2280,2112,520,402,347,C
3067,13240,23127,3941,9959,731,Rest
4484,14399,24708,3549,14235,1681,Hotel
25203,11487,9490,5065,284,6854,Hot
583,685,2216,469,954,18,R
1956,891,5226,1383,5,1328,Hote
1107,11711,23596,955,9265,710,Caffe
6373,780,950,878,288,285,Cafe
2541,4737,6089,2946,5316,120,Hote
1537,3748,5838,1859,3381,806,Restaurant
5550,12729,16767,864,12420,797,C
18567,1895,1393,1801,244,2100,Cafe
12119,28326,39694,4736,19410,2870,H
7291,1012,2062,1291,240,1775,Cafe
3317,6602,6861,1329,3961,1215,R
2362,6551,11364,913,5957,791,Cafe
2806,10765,15538,1374,5828,2388,Cafe
2532,16599,36486,179,13308,674,H
18044,1475,2046,2532,130,1158,C
18,7504,15205,1285,4797,6372,Hote
4155,367,1390,2306,86,130,C
14755,899,1382,1765,56,749,Hote
5396,7503,10646,91,4167,239,Hotel
5041,1115,2856,7496,256,375,Restaurant
2790,2527,5265,5612,788,1360,Hotel
7274,659,1499,784,70,659,Hot
12680,3243,4157,660,761,786,Hote
20782,5921,9212,1759,2568,1553,R
4042,2204,1563,2286,263,689,Caffe
1869,577,572,950,4762,203,H
8656,2746,2501,6845,694,980,Hote
11072,5989,5615,8321,955,2137,C
2344,10678,3828,1439,1566,490,Rest
25962,1780,3838,638,284,834,Hotel
964,4984,3316,937,409,7,Caffe
15603,2703,3833,4260,325,2563,Caffe
1838,6380,2824,1218,1216,295,Caffe
8635,820,3047,2312,415,225,Cafe
18692,3838,593,4634,28,1215,Hote
7363,475,585,1112,72,216,R
47493,2567,3779,5243,828,2253,Cafe
22096,3575,7041,11422,343,2564,Caffe
24929,1801,2475,2216,412,1047,Restaurant
18226,659,2914,3752,586,578,R
11210,3576,5119,561,1682,2398,Caffe
6202,7775,10817,1183,3143,1970,Hot
3062,6154,13916,230,8933,2784,Hotel
8885,2428,1777,1777,430,610,H
13569,346,489,2077,44,659,R
15671,5279,2406,559,562,572,H
8040,3795,2070,6340,918,291,Restaurant
3191,1993,1799,1730,234,710,Caffe
6134,23133,33586,6746,18594,5121,Caffe
6623,1860,4740,7683,205,1693,Cafe
29526,7961,16966,432,363,1391,Caffe
10379,17972,4748,4686,1547,3265,C
31614,489,1495,3242,111,615,Hot
11092,5008,5249,453,392,373,Hote
8475,1931,1883,5004,3593,987,Cafe
56083,4563,2124,6422,730,3321,Hot
53205,4959,7336,3012,967,818,Hotel
9193,4885,2157,327,780,548,Restaurant
7858,1110,1094,6818,49,287,Caffe
23257,1372,1677,982,429,655,C
2153,1115,6684,4324,2894,411,Hote
1073,9679,15445,61,5980,1265,H
5909,23527,13699,10155,830,3636,R
572,9763,22182,2221,4882,2563,Rest
20893,1222,2576,3975,737,3628,R
11908,8053,19847,1069,6374,698,Hotel
15218,258,1138,2516,333,204,Rest
4720,1032,975,5500,197,56,H
2083,5007,1563,1120,147,1550,Hot
514,8323,6869,529,93,1040,Hote
36817,3045,1493,4802,210,1824,Hotel
894,1703,1841,744,759,1153,H
680,1610,223,862,96,379,H
27901,3749,6964,4479,603,2503,Hot
9061,829,683,16919,621,139,Hot
11693,2317,2543,5845,274,1409,C
17360,6200,9694,1293,3620,1721,Hote
3366,2884,2431,977,167,1104,R
12238,7108,6235,1093,2328,2079,Restaurant
49063,3965,4252,5970,1041,1404,Caffe
25767,3613,2013,10303,314,1384,Rest
68951,4411,12609,8692,751,2406,Hote
40254,640,3600,1042,436,18,C
7149,2247,1242,1619,1226,128,C
15354,2102,2828,8366,386,1027,H
16260,594,1296,848,445,258,H
42786,286,471,1388,32,22,C
2708,2160,2642,502,965,1522,Restaurant
6022,3354,3261,2507,212,686,H
2838,3086,4329,3838,825,1060,Hotel
3996,11103,12469,902,5952,741,Hotel
21273,2013,6550,909,811,1854,Hot
7588,1897,5234,417,2208,254,Restaurant
19087,1304,3643,3045,710,898,R
8090,3199,6986,1455,3712,531,Caffe
6758,4560,9965,934,4538,1037,Caffe
444,879,2060,264,290,259,C
16448,6243,6360,824,2662,2005,H
5283,13316,20399,1809,8752,172,R
2886,5302,9785,364,6236,555,R
2599,3688,13829,492,10069,59,Rest
161,7460,24773,617,11783,2410,R
243,12939,8852,799,3909,211,Cafe
6468,12867,21570,1840,7558,1543,H
17327,2374,2842,1149,351,925,Hotel
6987,1020,3007,416,257,656,Cafe
918,20655,13567,1465,6846,806,Cafe
7034,1492,2405,12569,299,1117,Rest
29635,2335,8280,3046,371,117,Rest
2137,3737,19172,1274,17120,142,Hot
9784,925,2405,4447,183,297,Restaurant
10617,1795,7647,1483,857,1233,Cafe
1479,14982,11924,662,3891,3508,R
7127,1375,2201,2679,83,1059,Restaurant
1182,3088,6114,978,821,1637,H
11800,2713,3558,2121,706,51,Rest
9759,25071,17645,1128,12408,1625,Hote
1774,3696,2280,514,275,834,Caffe
9155,1897,5167,2714,228,1113,C
15881,713,3315,3703,1470,229,Hotel
13360,944,11593,915,1679,573,Cafe
25977,3587,2464,2369,140,1092,Hotel
32717,16784,13626,60869,1272,5609,Hot
4414,1610,1431,3498,387,834,C
542,899,1664,414,88,522,Restaurant
16933,2209,3389,7849,210,1534,Restaurant
5113,1486,4583,5127,492,739,Caffe
9790,1786,5109,3570,182,1043,H
11223,14881,26839,1234,9606,1102,Cafe
22321,3216,1447,2208,178,2602,H
8565,4980,67298,131,38102,1215,Restaurant
16823,928,2743,11559,332,3486,Cafe
27082,6817,10790,1365,4111,2139,Caffe
13970,1511,1330,650,146,778,H
9351,1347,2611,8170,442,868,Hote
3,333,7021,15601,15,550,Hote
2617,1188,5332,9584,573,1942,Restaurant
381,4025,9670,388,7271,1371,Hote
2320,5763,11238,767,5162,2158,Cafe
255,5758,5923,349,4595,1328,R
1689,6964,26316,1456,15469,37,Restaurant
3043,1172,1763,2234,217,379,Restaurant
1198,2602,8335,402,3843,303,Hotel
2771,6939,15541,2693,6600,1115,Rest
27380,7184,12311,2809,4621,1022,Hot
3428,2380,2028,1341,1184,665,Cafe
5981,14641,20521,2005,12218,445,Caffe
3521,1099,1997,1796,173,995,Caffe
1210,10044,22294,1741,12638,3137,Restaurant
608,1106,1533,830,90,195,Hot
117,6264,21203,228,8682,1111,C
14039,7393,2548,6386,1333,2341,R
190,727,2012,245,184,127,R
22686,134,218,3157,9,548,Cafe
37,1275,22272,137,6747,110,Rest
759,18664,1660,6114,536,4100,Hot
796,5878,2109,340,232,776,Cafe
19746,2872,2006,2601,468,503,Hotel
4734,607,864,1206,159,405,Caffe
2121,1601,2453,560,179,712,H
4627,997,4438,191,1335,314,Cafe
2615,873,1524,1103,514,468,Hote
4692,6128,8025,1619,4515,3105,Cafe
9561,2217,1664,1173,222,447,Hot
3477,894,534,1457,252,342,Restaurant
22335,1196,2406,2046,101,558,Rest
6211,337,683,1089,41,296,H
